﻿Date,Value,Group
"Wednesday, Jun 30, 1993",151.267,MSCI
"Wednesday, Jun 30, 1999",636.317,MSCI
"Wednesday, Jun 30, 2004",641.221,MSCI
"Wednesday, Jun 30, 2010",670.061,MSCI
"Wednesday, Mar 31, 1993",146.138,MSCI
"Wednesday, Mar 31, 1999",604.576,MSCI
"Wednesday, Mar 31, 2004",636.95,MSCI
"Wednesday, Mar 31, 2010",758.09,MSCI
"Wednesday, May 31, 1995",187.201,MSCI
"Wednesday, May 31, 2000",734.758,MSCI
"Wednesday, May 31, 2006",845.138,MSCI
"Wednesday, May 31, 2017","1,927.27",MSCI
"Wednesday, Nov 30, 1994",155.712,MSCI
"Wednesday, Nov 30, 2005",824.394,MSCI
"Wednesday, Nov 30, 2011",867.694,MSCI
"Wednesday, Nov 30, 2016","1,633.21",MSCI
"Wednesday, Oct 31, 1990",88.957,MSCI
"Wednesday, Oct 31, 2001",532.998,MSCI
"Wednesday, Oct 31, 2007","1,072.54",MSCI
"Wednesday, Oct 31, 2012",985.308,MSCI
"Wednesday, Oct 31, 2018","2,327.55",MSCI
"Wednesday, Sep 30, 1992",118.286,MSCI
"Wednesday, Sep 30, 1998",432.802,MSCI
"Wednesday, Sep 30, 2009",677.885,MSCI
"Wednesday, Sep 30, 2015","1,483.87",MSCI
"Friday, Apr 28, 1995",514.71,SP500
"Friday, Apr 28, 2000",1452.43,SP500
"Friday, Apr 28, 2006",1310.61,SP500
"Friday, Apr 28, 2017",2384.2,SP500
"Friday, Apr 29, 1994",450.91,SP500
"Friday, Apr 29, 2005",1156.85,SP500
"Friday, Apr 29, 2011",1363.61,SP500
"Friday, Apr 29, 2016",2065.3,SP500
"Friday, Apr 30, 1993",440.19,SP500
"Friday, Apr 30, 1999",1335.18,SP500
"Friday, Apr 30, 2004",1107.3,SP500
"Friday, Apr 30, 2010",1186.69,SP500
"Friday, Aug 29, 1997",899.47,SP500
"Friday, Aug 29, 2003",1008.01,SP500
"Friday, Aug 29, 2008",1282.83,SP500
"Friday, Aug 29, 2014",2003.37,SP500
"Friday, Aug 30, 1991",395.43,SP500
"Friday, Aug 30, 1996",651.99,SP500
"Friday, Aug 30, 2002",916.07,SP500
"Friday, Aug 30, 2013",1632.97,SP500
"Friday, Aug 30, 2019",2926.46,SP500
"Friday, Aug 31, 1990",322.56,SP500
"Friday, Aug 31, 2001",1133.58,SP500
"Friday, Aug 31, 2007",1473.99,SP500
"Friday, Aug 31, 2012",1406.58,SP500
"Friday, Aug 31, 2018",2901.52,SP500
"Friday, Dec 29, 1995",615.93,SP500
"Friday, Dec 29, 2000",1320.28,SP500
"Friday, Dec 29, 2006",1418.3,SP500
"Friday, Dec 29, 2017",2673.61,SP500
"Friday, Dec 30, 1994",459.27,SP500
"Friday, Dec 30, 2005",1248.29,SP500
"Friday, Dec 30, 2011",1257.6,SP500
"Friday, Dec 30, 2016",2238.83,SP500
"Friday, Dec 31, 1993",466.45,SP500
"Friday, Dec 31, 1999",1469.25,SP500
"Friday, Dec 31, 2004",1211.92,SP500
"Friday, Dec 31, 2010",1257.64,SP500
"Friday, Feb 26, 1993",443.38,SP500
"Friday, Feb 26, 1999",1238.33,SP500
"Friday, Feb 26, 2010",1104.49,SP500
"Friday, Feb 27, 1998",1049.34,SP500
"Friday, Feb 27, 2004",1144.94,SP500
"Friday, Feb 27, 2009",735.09,SP500
"Friday, Feb 27, 2015",2104.5,SP500
"Friday, Feb 28, 1992",412.7,SP500
"Friday, Feb 28, 1997",790.82,SP500
"Friday, Feb 28, 2003",841.15,SP500
"Friday, Feb 28, 2014",1859.45,SP500
"Friday, Feb 28, 2020",2954.22,SP500
"Friday, Feb 29, 2008",1330.63,SP500
"Friday, Jan 29, 1993",438.78,SP500
"Friday, Jan 29, 1999",1279.64,SP500
"Friday, Jan 29, 2010",1073.87,SP500
"Friday, Jan 29, 2016",1940.24,SP500
"Friday, Jan 30, 1998",980.28,SP500
"Friday, Jan 30, 2004",1131.13,SP500
"Friday, Jan 30, 2009",825.88,SP500
"Friday, Jan 30, 2015",1994.99,SP500
"Friday, Jan 31, 1992",408.78,SP500
"Friday, Jan 31, 1997",786.16,SP500
"Friday, Jan 31, 2003",855.7,SP500
"Friday, Jan 31, 2014",1782.59,SP500
"Friday, Jan 31, 2020",3225.52,SP500
"Friday, Jul 29, 1994",458.26,SP500
"Friday, Jul 29, 2005",1234.18,SP500
"Friday, Jul 29, 2011",1292.28,SP500
"Friday, Jul 29, 2016",2173.6,SP500
"Friday, Jul 30, 1993",448.13,SP500
"Friday, Jul 30, 1999",1328.72,SP500
"Friday, Jul 30, 2004",1101.72,SP500
"Friday, Jul 30, 2010",1101.6,SP500
"Friday, Jul 31, 1992",424.21,SP500
"Friday, Jul 31, 1998",1120.67,SP500
"Friday, Jul 31, 2009",987.48,SP500
"Friday, Jul 31, 2015",2103.84,SP500
"Friday, Jul 31, 2020",3271.12,SP500
"Friday, Jun 28, 1991",371.16,SP500
"Friday, Jun 28, 1996",670.63,SP500
"Friday, Jun 28, 2002",989.82,SP500
"Friday, Jun 28, 2013",1606.28,SP500
"Friday, Jun 28, 2019",2941.76,SP500
"Friday, Jun 29, 1990",358.02,SP500
"Friday, Jun 29, 2001",1224.38,SP500
"Friday, Jun 29, 2007",1503.35,SP500
"Friday, Jun 29, 2012",1362.16,SP500
"Friday, Jun 29, 2018",2718.37,SP500
"Friday, Jun 30, 1995",544.75,SP500
"Friday, Jun 30, 2000",1454.6,SP500
"Friday, Jun 30, 2006",1270.2,SP500
"Friday, Jun 30, 2017",2423.41,SP500
"Friday, Mar 29, 1996",645.5,SP500
"Friday, Mar 29, 2019",2834.4,SP500
"Friday, Mar 30, 1990",339.94,SP500
"Friday, Mar 30, 2001",1160.33,SP500
"Friday, Mar 30, 2007",1420.86,SP500
"Friday, Mar 30, 2012",1408.47,SP500
"Friday, Mar 31, 1995",500.71,SP500
"Friday, Mar 31, 2000",1498.58,SP500
"Friday, Mar 31, 2006",1294.87,SP500
"Friday, Mar 31, 2017",2362.72,SP500
"Friday, May 29, 1992",415.35,SP500
"Friday, May 29, 1998",1090.82,SP500
"Friday, May 29, 2009",919.14,SP500
"Friday, May 29, 2015",2107.39,SP500
"Friday, May 29, 2020",3044.31,SP500
"Friday, May 30, 1997",848.28,SP500
"Friday, May 30, 2003",963.59,SP500
"Friday, May 30, 2008",1400.38,SP500
"Friday, May 30, 2014",1923.57,SP500
"Friday, May 31, 1991",389.83,SP500
"Friday, May 31, 1996",669.12,SP500
"Friday, May 31, 2002",1067.14,SP500
"Friday, May 31, 2013",1630.74,SP500
"Friday, May 31, 2019",2752.06,SP500
"Friday, Nov 28, 1997",955.4,SP500
"Friday, Nov 28, 2003",1058.2,SP500
"Friday, Nov 28, 2008",896.24,SP500
"Friday, Nov 28, 2014",2067.56,SP500
"Friday, Nov 29, 1991",375.22,SP500
"Friday, Nov 29, 1996",757.02,SP500
"Friday, Nov 29, 2002",936.31,SP500
"Friday, Nov 29, 2013",1805.81,SP500
"Friday, Nov 29, 2019",3140.98,SP500
"Friday, Nov 30, 1990",322.22,SP500
"Friday, Nov 30, 2001",1139.45,SP500
"Friday, Nov 30, 2007",1481.14,SP500
"Friday, Nov 30, 2012",1416.18,SP500
"Friday, Nov 30, 2018",2760.17,SP500
"Friday, Oct 29, 1993",467.83,SP500
"Friday, Oct 29, 1999",1362.93,SP500
"Friday, Oct 29, 2004",1130.2,SP500
"Friday, Oct 29, 2010",1183.26,SP500
"Friday, Oct 30, 1992",418.68,SP500
"Friday, Oct 30, 1998",1098.67,SP500
"Friday, Oct 30, 2009",1036.19,SP500
"Friday, Oct 30, 2015",2079.36,SP500
"Friday, Oct 31, 1997",914.62,SP500
"Friday, Oct 31, 2003",1050.71,SP500
"Friday, Oct 31, 2008",968.75,SP500
"Friday, Oct 31, 2014",2018.05,SP500
"Friday, Sep 28, 1990",306.05,SP500
"Friday, Sep 28, 2001",1040.94,SP500
"Friday, Sep 28, 2007",1526.75,SP500
"Friday, Sep 28, 2012",1440.67,SP500
"Friday, Sep 28, 2018",2913.98,SP500
"Friday, Sep 29, 1995",584.41,SP500
"Friday, Sep 29, 2000",1436.51,SP500
"Friday, Sep 29, 2006",1335.85,SP500
"Friday, Sep 29, 2017",2519.36,SP500
"Friday, Sep 30, 1994",462.71,SP500
"Friday, Sep 30, 2005",1228.81,SP500
"Friday, Sep 30, 2011",1131.42,SP500
"Friday, Sep 30, 2016",2168.27,SP500
"Monday, Apr 30, 1990",330.8,SP500
"Monday, Apr 30, 2001",1249.46,SP500
"Monday, Apr 30, 2007",1482.37,SP500
"Monday, Apr 30, 2012",1397.91,SP500
"Monday, Apr 30, 2018",2648.05,SP500
"Monday, Aug 31, 1992",414.03,SP500
"Monday, Aug 31, 1998",957.28,SP500
"Monday, Aug 31, 2009",1020.62,SP500
"Monday, Aug 31, 2015",1972.18,SP500
"Monday, Aug 31, 2020",3500.31,SP500
"Monday, Dec 31, 1990",330.22,SP500
"Monday, Dec 31, 2001",1148.08,SP500
"Monday, Dec 31, 2007",1468.36,SP500
"Monday, Dec 31, 2012",1426.19,SP500
"Monday, Dec 31, 2018",2506.85,SP500
"Monday, Feb 28, 1994",467.14,SP500
"Monday, Feb 28, 2005",1203.6,SP500
"Monday, Feb 28, 2011",1327.22,SP500
"Monday, Feb 29, 2016",1932.23,SP500
"Monday, Jan 31, 1994",481.61,SP500
"Monday, Jan 31, 2000",1394.46,SP500
"Monday, Jan 31, 2005",1181.27,SP500
"Monday, Jan 31, 2011",1286.12,SP500
"Monday, Jul 31, 1995",562.06,SP500
"Monday, Jul 31, 2000",1430.83,SP500
"Monday, Jul 31, 2006",1276.66,SP500
"Monday, Jul 31, 2017",2470.3,SP500
"Monday, Jun 30, 1997",885.14,SP500
"Monday, Jun 30, 2003",974.5,SP500
"Monday, Jun 30, 2008",1280,SP500
"Monday, Jun 30, 2014",1960.23,SP500
"Monday, Mar 31, 1997",757.12,SP500
"Monday, Mar 31, 2003",848.18,SP500
"Monday, Mar 31, 2008",1322.7,SP500
"Monday, Mar 31, 2014",1872.34,SP500
"Monday, Nov 30, 1992",431.35,SP500
"Monday, Nov 30, 1998",1163.63,SP500
"Monday, Nov 30, 2009",1095.63,SP500
"Monday, Nov 30, 2015",2080.41,SP500
"Monday, Oct 31, 1994",472.35,SP500
"Monday, Oct 31, 2005",1207.01,SP500
"Monday, Oct 31, 2011",1253.3,SP500
"Monday, Oct 31, 2016",2126.15,SP500
"Monday, Sep 30, 1991",387.86,SP500
"Monday, Sep 30, 1996",687.33,SP500
"Monday, Sep 30, 2002",815.28,SP500
"Monday, Sep 30, 2013",1681.55,SP500
"Monday, Sep 30, 2019",2976.74,SP500
"Thursday, Apr 30, 1992",414.95,SP500
"Thursday, Apr 30, 1998",1111.75,SP500
"Thursday, Apr 30, 2009",872.81,SP500
"Thursday, Apr 30, 2015",2085.51,SP500
"Thursday, Apr 30, 2020",2912.43,SP500
"Thursday, Aug 31, 1995",561.88,SP500
