Date_Easy,MSCI_Change,SP500_Change,,,,,,,,,,,,Please change the title to: S&P 500 Index vs. Victor Wealth Momentum Portfolio Simulation Comparison
31-Dec-13,3%,2%,,,,,,,,,,,,
31-Jan-14,-2%,-4%,,,,,,,,,,,,
28-Feb-14,7%,4%,,,,,,,,,,,,
31-Mar-14,-3%,1%,,,,,,,,,,,,
30-Apr-14,-1%,1%,,,,,,,,,,,,
30-May-14,4%,2%,,,,,,,,,,,,
30-Jun-14,2%,2%,,,,,,,,,,,,
31-Jul-14,-1%,-2%,,,,,,,,,,,,
29-Aug-14,4%,4%,,,,,,,,,,,,
30-Sep-14,-1%,-2%,,,,,,,,,,,,
31-Oct-14,2%,2%,,,,,,,,,,,,
28-Nov-14,4%,2%,,,,,,,,,,,,
31-Dec-14,-1%,0%,,,,,,,,,,,,
30-Jan-15,-1%,-3%,,,,,,,,,,,,
27-Feb-15,5%,5%,,,,,,,,,,,,
31-Mar-15,-1%,-2%,,,,,,,,,,,,
30-Apr-15,-1%,1%,,,,,,,,,,,,
29-May-15,3%,1%,,,,,,,,,,,,
30-Jun-15,0%,-2%,,,,,,,,,,,,
31-Jul-15,4%,2%,,,,,,,,,,,,
31-Aug-15,-6%,-6%,,,,,,,,,,,,
30-Sep-15,-2%,-3%,,,,,,,,,,,,
30-Oct-15,7%,8%,,,,,,,,,,,,
30-Nov-15,0%,0%,,,,,,,,,,,,
31-Dec-15,0%,-2%,,,,,,,,,,,,
29-Jan-16,-4%,-5%,,,,,,,,,,,,
29-Feb-16,-1%,0%,,,,,,,,,,,,
31-Mar-16,5%,7%,,,,,,,,,,,,
29-Apr-16,-1%,0%,,,,,,,,,,,,
31-May-16,2%,2%,,,,,,,,,,,,
30-Jun-16,3%,0%,,,,,,,,,,,,
29-Jul-16,3%,4%,,,,,,,,,,,,
31-Aug-16,-2%,0%,,,,,,,,,,,,
30-Sep-16,0%,0%,,,,,,,,,,,,
31-Oct-16,-2%,-2%,,,,,,,,,,,,
30-Nov-16,-1%,3%,,,,,,,,,,,,
30-Dec-16,1%,2%,,,,,,,,,,,,
31-Jan-17,3%,2%,,,,,,,,,,,,
28-Feb-17,4%,4%,,,,,,,,,,,,
31-Mar-17,2%,0%,,,,,,,,,,,,
28-Apr-17,2%,1%,,,,,,,,,,,,
31-May-17,5%,1%,,,,,,,,,,,,
30-Jun-17,0%,0%,,,,,,,,,,,,
31-Jul-17,3%,2%,,,,,,,,,,,,
31-Aug-17,1%,0%,,,,,,,,,,,,
29-Sep-17,3%,2%,,,,,,,,,,,,
31-Oct-17,5%,2%,,,,,,,,,,,,
30-Nov-17,3%,3%,,,,,,,,,,,,
29-Dec-17,0%,1%,,,,,,,,,,,,
31-Jan-18,8%,6%,,,,,,,,,,,,
28-Feb-18,-2%,-4%,,,,,,,,,,,,
30-Apr-18,-3%,-2%,,,,,,,,,,,,
31-May-18,3%,2%,,,,,,,,,,,,
29-Jun-18,0%,0%,,,,,,,,,,,,
31-Jul-18,2%,4%,,,,,,,,,,,,
31-Aug-18,6%,3%,,,,,,,,,,,,
28-Sep-18,1%,0%,,,,,,,,,,,,
31-Oct-18,-10%,-7%,,,,,,,,,,,,
30-Nov-18,1%,2%,,,,,,,,,,,,
31-Dec-18,-8%,-9%,,,,,,,,,,,,
31-Jan-19,7%,8%,,,,,,,,,,,,
28-Feb-19,3%,3%,,,,,,,,,,,,
29-Mar-19,2%,2%,,,,,,,,,,,,
30-Apr-19,2%,4%,,,,,,,,,,,,
31-May-19,-2%,-7%,,,,,,,,,,,,
28-Jun-19,6%,7%,,,,,,,,,,,,
31-Jul-19,2%,1%,,,,,,,,,,,,
30-Aug-19,0%,-2%,,,,,,,,,,,,
30-Sep-19,-1%,2%,,,,,,,,,,,,
31-Oct-19,1%,2%,,,,,,,,,,,,
29-Nov-19,3%,3%,,,,,,,,,,,,
31-Dec-19,2%,3%,,,,,,,,,,,,
31-Jan-20,4%,0%,,,,,,,,,,,,
28-Feb-20,-7%,-8%,,,,,,,,,,,,
31-Mar-20,-12%,-13%,,,,,,,,,,,,
30-Apr-20,12%,13%,,,,,,,,,,,,
29-May-20,6%,5%,,,,,,,,,,,,
30-Jun-20,4%,2%,,,,,,,,,,,,
31-Jul-20,7%,6%,,,,,,,,,,,,
31-Aug-20,10%,7%,,,,,,,,,,,,
