Date,Index
"Wednesday, Jun 30, 2004",641.221
"Friday, Jul 30, 2004",609.125
"Tuesday, Aug 31, 2004",613.015
"Thursday, Sep 30, 2004",645.558
"Friday, Oct 29, 2004",650.237
"Tuesday, Nov 30, 2004",699.598
"Friday, Dec 31, 2004",712.357
"Monday, Jan 31, 2005",697.330
"Monday, Feb 28, 2005",737.889
"Thursday, Mar 31, 2005",729.712
"Friday, Apr 29, 2005",700.943
"Tuesday, May 31, 2005",726.557
"Thursday, Jun 30, 2005",752.232
"Friday, Jul 29, 2005",783.171
"Wednesday, Aug 31, 2005",795.243
"Friday, Sep 30, 2005",826.228
"Monday, Oct 31, 2005",800.745
"Wednesday, Nov 30, 2005",824.394
"Friday, Dec 30, 2005",837.612
"Tuesday, Jan 31, 2006",892.301
"Tuesday, Feb 28, 2006",858.067
"Friday, Mar 31, 2006",872.334
"Friday, Apr 28, 2006",882.509
"Wednesday, May 31, 2006",845.138
"Friday, Jun 30, 2006",852.110
"Monday, Jul 31, 2006",823.856
"Thursday, Aug 31, 2006",816.661
"Friday, Sep 29, 2006",832.043
"Tuesday, Oct 31, 2006",871.790
"Thursday, Nov 30, 2006",906.839
"Friday, Dec 29, 2006",917.722
"Wednesday, Jan 31, 2007",951.487
"Wednesday, Feb 28, 2007",922.792
"Friday, Mar 30, 2007",942.779
"Monday, Apr 30, 2007",977.363
"Thursday, May 31, 2007","1,011.654"
"Friday, Jun 29, 2007",982.637
"Tuesday, Jul 31, 2007",949.838
"Friday, Aug 31, 2007",960.852
"Friday, Sep 28, 2007","1,027.779"
"Wednesday, Oct 31, 2007","1,072.536"
"Friday, Nov 30, 2007","1,035.747"
"Monday, Dec 31, 2007","1,067.422"
"Thursday, Jan 31, 2008",943.226
"Friday, Feb 29, 2008",938.316
"Monday, Mar 31, 2008",933.475
"Wednesday, Apr 30, 2008","1,011.161"
"Friday, May 30, 2008","1,050.986"
"Monday, Jun 30, 2008","1,035.900"
"Thursday, Jul 31, 2008",940.685
"Friday, Aug 29, 2008",932.190
"Tuesday, Sep 30, 2008",786.916
"Friday, Oct 31, 2008",672.706
"Friday, Nov 28, 2008",614.669
"Wednesday, Dec 31, 2008",622.695
"Friday, Jan 30, 2009",564.843
"Friday, Feb 27, 2009",507.491
"Tuesday, Mar 31, 2009",538.868
"Thursday, Apr 30, 2009",568.842
"Friday, May 29, 2009",592.950
"Tuesday, Jun 30, 2009",606.499
"Friday, Jul 31, 2009",646.029
"Monday, Aug 31, 2009",653.353
"Wednesday, Sep 30, 2009",677.885
"Friday, Oct 30, 2009",657.515
"Monday, Nov 30, 2009",701.799
"Thursday, Dec 31, 2009",721.627
"Friday, Jan 29, 2010",675.018
"Friday, Feb 26, 2010",706.715
"Wednesday, Mar 31, 2010",758.090
"Friday, Apr 30, 2010",762.065
"Monday, May 31, 2010",709.220
"Wednesday, Jun 30, 2010",670.061
"Friday, Jul 30, 2010",721.382
"Tuesday, Aug 31, 2010",688.464
"Thursday, Sep 30, 2010",759.338
"Friday, Oct 29, 2010",796.444
"Tuesday, Nov 30, 2010",809.737
"Friday, Dec 31, 2010",842.318
"Monday, Jan 31, 2011",846.228
"Monday, Feb 28, 2011",879.033
"Thursday, Mar 31, 2011",895.498
"Friday, Apr 29, 2011",929.258
"Tuesday, May 31, 2011",923.491
"Thursday, Jun 30, 2011",916.027
"Friday, Jul 29, 2011",898.003
"Wednesday, Aug 31, 2011",845.220
"Friday, Sep 30, 2011",801.317
"Monday, Oct 31, 2011",866.538
"Wednesday, Nov 30, 2011",867.694
"Friday, Dec 30, 2011",876.854
"Tuesday, Jan 31, 2012",893.218
"Wednesday, Feb 29, 2012",936.247
"Friday, Mar 30, 2012",975.011
"Monday, Apr 30, 2012",991.743
"Thursday, May 31, 2012",943.067
"Friday, Jun 29, 2012",970.450
"Tuesday, Jul 31, 2012",982.587
"Friday, Aug 31, 2012",993.494
"Friday, Sep 28, 2012","1,010.023"
"Wednesday, Oct 31, 2012",985.308
"Friday, Nov 30, 2012","1,000.000"
"Monday, Dec 31, 2012",987.686
"Thursday, Jan 31, 2013","1,028.866"
"Thursday, Feb 28, 2013","1,048.184"
"Friday, Mar 29, 2013","1,099.368"
"Tuesday, Apr 30, 2013","1,129.416"
"Friday, May 31, 2013","1,125.863"
"Friday, Jun 28, 2013","1,113.682"
"Wednesday, Jul 31, 2013","1,181.781"
"Friday, Aug 30, 2013","1,139.110"
"Monday, Sep 30, 2013","1,173.534"
"Thursday, Oct 31, 2013","1,233.409"
"Friday, Nov 29, 2013","1,268.741"
"Tuesday, Dec 31, 2013","1,305.829"
"Friday, Jan 31, 2014","1,276.271"
"Friday, Feb 28, 2014","1,359.331"
"Monday, Mar 31, 2014","1,312.596"
"Wednesday, Apr 30, 2014","1,300.475"
"Friday, May 30, 2014","1,350.423"
"Monday, Jun 30, 2014","1,377.030"
"Thursday, Jul 31, 2014","1,361.705"
"Friday, Aug 29, 2014","1,422.402"
"Tuesday, Sep 30, 2014","1,412.294"
"Friday, Oct 31, 2014","1,444.550"
"Friday, Nov 28, 2014","1,496.639"
"Wednesday, Dec 31, 2014","1,478.564"
"Friday, Jan 30, 2015","1,469.619"
"Friday, Feb 27, 2015","1,546.517"
"Tuesday, Mar 31, 2015","1,526.759"
"Thursday, Apr 30, 2015","1,512.988"
"Friday, May 29, 2015","1,559.596"
"Tuesday, Jun 30, 2015","1,553.708"
"Friday, Jul 31, 2015","1,612.695"
"Monday, Aug 31, 2015","1,514.925"
"Wednesday, Sep 30, 2015","1,483.868"
"Friday, Oct 30, 2015","1,590.888"
"Monday, Nov 30, 2015","1,597.342"
"Thursday, Dec 31, 2015","1,594.003"
"Friday, Jan 29, 2016","1,534.925"
"Monday, Feb 29, 2016","1,512.672"
"Thursday, Mar 31, 2016","1,589.738"
"Friday, Apr 29, 2016","1,578.601"
"Tuesday, May 31, 2016","1,615.523"
"Thursday, Jun 30, 2016","1,660.682"
"Friday, Jul 29, 2016","1,703.623"
"Wednesday, Aug 31, 2016","1,675.766"
"Friday, Sep 30, 2016","1,681.229"
"Monday, Oct 31, 2016","1,646.319"
"Wednesday, Nov 30, 2016","1,633.211"
"Friday, Dec 30, 2016","1,648.765"
"Tuesday, Jan 31, 2017","1,702.183"
"Tuesday, Feb 28, 2017","1,762.324"
"Friday, Mar 31, 2017","1,797.575"
"Friday, Apr 28, 2017","1,841.611"
"Wednesday, May 31, 2017","1,927.268"
"Friday, Jun 30, 2017","1,932.779"
"Monday, Jul 31, 2017","1,997.534"
"Thursday, Aug 31, 2017","2,023.604"
"Friday, Sep 29, 2017","2,079.571"
"Tuesday, Oct 31, 2017","2,181.499"
"Thursday, Nov 30, 2017","2,238.100"
"Friday, Dec 29, 2017","2,239.377"
"Wednesday, Jan 31, 2018","2,420.975"
"Wednesday, Feb 28, 2018","2,383.047"
"Friday, Mar 30, 2018","2,294.161"
"Monday, Apr 30, 2018","2,308.653"
"Thursday, May 31, 2018","2,384.998"
"Friday, Jun 29, 2018","2,380.572"
"Tuesday, Jul 31, 2018","2,422.474"
"Friday, Aug 31, 2018","2,560.942"
"Friday, Sep 28, 2018","2,583.605"
"Wednesday, Oct 31, 2018","2,327.547"
"Friday, Nov 30, 2018","2,355.979"
"Monday, Dec 31, 2018","2,172.613"
"Thursday, Jan 31, 2019","2,314.173"
"Thursday, Feb 28, 2019","2,392.807"
"Friday, Mar 29, 2019","2,441.168"
"Tuesday, Apr 30, 2019","2,494.335"
"Friday, May 31, 2019","2,432.832"
"Friday, Jun 28, 2019","2,581.439"
"Wednesday, Jul 31, 2019","2,625.105"
"Friday, Aug 30, 2019","2,629.459"
"Monday, Sep 30, 2019","2,594.482"
"Thursday, Oct 31, 2019","2,607.709"
"Friday, Nov 29, 2019","2,692.071"
"Tuesday, Dec 31, 2019","2,737.364"
"Friday, Jan 31, 2020","2,835.071"
"Friday, Feb 28, 2020","2,622.738"
"Tuesday, Mar 31, 2020","2,320.457"
"Thursday, Apr 30, 2020","2,590.247"
"Friday, May 29, 2020","2,741.859"
"Tuesday, Jun 30, 2020","2,859.188"
"Friday, Jul 31, 2020","3,053.471"
"Monday, Aug 31, 2020","3,345.131"
